name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources
brown sugar,,,,,manual-top-500
chicken stock,,,,,manual-top-500
tomato,,,,,manual-top-500
lemon juice,,,,,manual-top-500
worcestershire sauce,,,,,manual-top-500
red pepper,,,,,manual-top-500
mushroom,,,,,manual-top-500
sugar,,,,,manual-top-500
soy sauce,fatty,umami,,fermented|salty-savory|brothy,manual-top-500
chili powder,,,,,manual-top-500
butter,,,,,manual-top-500
cayenne pepper,,,,,manual-top-500
ginger,,,,,manual-top-500
chicken,,,,,manual-top-500
basil,,,,,manual-top-500
cornstarch,,,,,manual-top-500
powdered sugar,,,,,manual-top-500
boiling water,,,,,manual-top-500
green pepper,,,,,manual-top-500
oregano,,,,,manual-top-500
cumin,,,,,manual-top-500
pecan,,,,,manual-top-500
garlic,green,pungent,pungent,sulfurous|sharp,manual-top-500
onion,,,,,manual-top-500
tomato paste,,,,,manual-top-500
milk,,,,,manual-top-500
zucchini,,,,,manual-top-500
shrimp,,,,,manual-top-500
beef,,,,,manual-top-500
mozzarella,,,,,manual-top-500
parmesan,,,,,manual-top-500
honey,,,,,manual-top-500
egg,,,,,manual-top-500
bay leaf,,,,,manual-top-500
maple syrup,,,,,manual-top-500
celery,,,,,manual-top-500
flour,,,,,manual-top-500
fish sauce,,,,,manual-top-500
sesame oil,,,,,manual-top-500
pineapple,,,,,manual-top-500
sweet pepper,,,,,manual-top-500
walnut,,,,,manual-top-500
shallot,,,,,manual-top-500
white wine,,,,,manual-top-500
cilantro,,,,,manual-top-500
sour cream,,,,,manual-top-500
rice vinegar,,,,,manual-top-500
thyme,,,,,manual-top-500
red wine vinegar,,,,,manual-top-500
bacon,,,,,manual-top-500
cream cheese,,,,,manual-top-500
lime,,,,,manual-top-500
olive,,,,,manual-top-500
chocolate,,,,,manual-top-500
lime juice,,,,,manual-top-500
rice,,,,,manual-top-500
freshly black pepper,,,,,manual-top-500
beef stock,,,,,manual-top-500
baking powder,,,,,manual-top-500
dressing,,,,,manual-top-500
cheese,,,,,manual-top-500
rosemary,,,,,manual-top-500
tomato sauce,,,,,manual-top-500
nutmeg,,,,,manual-top-500
paprika,,,,,manual-top-500
balsamic vinegar,,,,,manual-top-500
buttermilk,,,,,manual-top-500
white vinegar,,,,,manual-top-500
extra-virgin olive oil,,,,,manual-top-500
avocado,,,,,manual-top-500
tabasco sauce,,,,,manual-top-500
turmeric,,,,,manual-top-500
pasta,,,,,manual-top-500
vinegar,,,,,manual-top-500
cider vinegar,,,,,manual-top-500
scallion,,,,,manual-top-500
coconut milk,,,,,manual-top-500
baking soda,,,,,manual-top-500
bread,,,,,manual-top-500
vegetable,,,,,manual-top-500
pineapple juice,,,,,manual-top-500
orange,,,,,manual-top-500
sage,,,,,manual-top-500
barbecue sauce,,,,,manual-top-500
apple cider vinegar,,,,,manual-top-500
tuna,,,,,manual-top-500
mint,green,bitter|astringent,cooling|pungent,menthol|fresh|sharp|grassy|herbaceous,manual-top-500
orange juice,,,,,manual-top-500
garlic salt,,,,,manual-top-500
red wine,,,,,manual-top-500
ricotta,,,,,manual-top-500
coriander,,,,,manual-top-500
curry powder,,,,,manual-top-500
white pepper,,,,,manual-top-500
cinnamon,,,,,manual-top-500
apple juice,,,,,manual-top-500
lemon,fruity,sour,astringent,citrus|bright|zesty,manual-top-500
chili sauce,,,,,manual-top-500
pork,,,,,manual-top-500
curry,,,,,manual-top-500
salad oil,,,,,manual-top-500
apple,,,,,manual-top-500
coconut,,,,,manual-top-500
whipped cream,,,,,manual-top-500
egg yolk,,,,,manual-top-500
green chilie,,,,,manual-top-500
ketchup,,,,,manual-top-500
italian sausage,,,,,manual-top-500
vanilla ice cream,,,,,manual-top-500
corn,,,,,manual-top-500
cocoa,,,,,manual-top-500
egg white,,,,,manual-top-500
horseradish,,,,,manual-top-500
plain yogurt,,,,,manual-top-500
gingerroot,,,,,manual-top-500
feta,,,,,manual-top-500
peanut oil,,,,,manual-top-500
peanut,,,,,manual-top-500
light corn syrup,,,,,manual-top-500
capers,,,,,manual-top-500
cream,,,,,manual-top-500
almond,,,,,manual-top-500
sweet potato,,,,,manual-top-500
cream of tartar,,,,,manual-top-500
sake,,,,,manual-top-500
corn syrup,,,,,manual-top-500
mustard,,,,,manual-top-500
carrot,,,,,manual-top-500
vegetable stock,,,,,manual-top-500
broccoli,,,,,manual-top-500
cornmeal,,,,,manual-top-500
coconut oil,,,,,manual-top-500
jalapeño,,,,,manual-top-500
shiitake,,,,,manual-top-500
turkey,,,,,manual-top-500
cardamom,,,,,manual-top-500
onion powder,,,,,manual-top-500
peanut butter,,,,,manual-top-500
cashew,,,,,manual-top-500
spinach,,,,,manual-top-500
yogurt,,,,,manual-top-500
oyster sauce,,,,,manual-top-500
nut,,,,,manual-top-500
salsa,,,,,manual-top-500
dill,,,,,manual-top-500
italian seasoning,,,,,manual-top-500
vanilla,woody,sweet,,vanilla|creamy|warm,manual-top-500
cabbage,,,,,manual-top-500
cucumber,,,,,manual-top-500
freshly pepper,,,,,manual-top-500
sesame,,,,,manual-top-500
anchovy,,,,,manual-top-500
