ingredient,slot,layer,confidence,source,occurrences
"gin",spirit,middle,medium,"slot-default-spirit",109
"vodka",spirit,middle,medium,"slot-default-spirit",61
"lemon juice",sour,top,medium,"slot-default-sour",49
"lime juice",sour,top,medium,"slot-default-sour",40
"simple syrup",sweet,middle,high,"override-middle",35
"dry vermouth",vermouth,middle,medium,"slot-default-vermouth",35
"angostura bitters",bitter,top,medium,"slot-default-bitter",34
"orange juice",sour,top,medium,"slot-default-sour",34
"lemon",sour,top,medium,"slot-default-sour",34
"sweet vermouth",vermouth,middle,medium,"slot-default-vermouth",33
"fresh lemon juice",sour,top,medium,"slot-default-sour",32
"sugar",sweet,bass,medium,"slot-default-sweet",29
"grenadine",sweet,bass,high,"override-bass",27
"ice",modifier,top,medium,"slot-default-modifier",25
"fresh lime juice",sour,top,medium,"slot-default-sour",24
"light rum",spirit,middle,medium,"slot-default-spirit",23
"lime",sour,top,medium,"slot-default-sour",23
"powdered sugar",sweet,bass,medium,"slot-default-sweet",23
"maraschino liqueur",amaro_liqueur,middle,high,"override-middle",21
"triple sec",amaro_liqueur,middle,high,"override-middle",21
"amaretto",amaro_liqueur,middle,high,"override-middle",19
"lemon peel",aromatic,top,medium,"slot-default-aromatic",19
"rum",spirit,bass,high,"override-bass",18
"orange bitters",bitter,top,medium,"slot-default-bitter",17
"bourbon",spirit,middle,medium,"slot-default-spirit",17
"kahlua",amaro_liqueur,bass,high,"override-bass",17
"pineapple juice",modifier,top,medium,"slot-default-modifier",17
"cognac",spirit,bass,high,"override-bass",16
"coffee",modifier,bass,high,"override-bass",16
"water",modifier,top,medium,"slot-default-modifier",16
"scotch",spirit,middle,medium,"slot-default-spirit",15
"egg white",modifier,bass,high,"override-bass",15
"soda water",modifier,top,high,"override-top",15
"baileys irish cream",modifier,top,medium,"slot-default-modifier",15
"dark rum",spirit,bass,high,"override-bass",15
"brandy",spirit,middle,medium,"slot-default-spirit",14
"tequila",spirit,middle,medium,"slot-default-spirit",14
"bitters",bitter,top,medium,"slot-default-bitter",13
"campari",amaro_liqueur,bass,high,"override-bass",12
"carbonated water",modifier,top,high,"override-top",12
"orange",sour,top,medium,"slot-default-sour",12
"rye",spirit,middle,medium,"slot-default-spirit",11
"maraschino cherry",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",11
"benedictine",amaro_liqueur,middle,high,"override-middle",10
"cranberry juice",modifier,top,medium,"slot-default-modifier",10
"mint",aromatic,top,medium,"slot-default-aromatic",10
"151 proof rum",spirit,middle,medium,"slot-default-spirit",10
"cherry",sweet,bass,medium,"slot-default-sweet",10
"absinthe",spirit,top,high,"override-top",9
"apple brandy",spirit,middle,medium,"slot-default-spirit",9
"orange liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",9
"green chartreuse",amaro_liqueur,middle,high,"override-middle",9
"milk",modifier,bass,high,"override-bass",9
"grapefruit juice",sour,top,medium,"slot-default-sour",9
"light cream",modifier,top,medium,"slot-default-modifier",9
"peychauds bitters",bitter,top,medium,"slot-default-bitter",8
"demerara gum syrup",sweet,bass,medium,"slot-default-sweet",8
"white rum",spirit,middle,medium,"slot-default-spirit",8
"blanco tequila",spirit,middle,medium,"slot-default-spirit",8
"tonic water",modifier,top,high,"override-top",8
"sambuca",amaro_liqueur,top,high,"override-top",8
"sugar syrup",sweet,middle,high,"override-middle",8
"salt solution",aromatic,top,medium,"slot-default-aromatic",7
"blanc vermouth",vermouth,middle,medium,"slot-default-vermouth",7
"club soda",modifier,top,high,"override-top",7
"nutmeg",aromatic,top,medium,"slot-default-aromatic",7
"ginger ale",modifier,top,high,"override-top",7
"coca-cola",modifier,top,high,"override-top",7
"orange peel",aromatic,top,medium,"slot-default-aromatic",7
"red wine",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",7
"irish whiskey",spirit,middle,medium,"slot-default-spirit",6
"honey syrup",sweet,bass,high,"override-bass",6
"aperol",amaro_liqueur,bass,high,"override-bass",6
"cold seltzer",modifier,top,high,"override-top",6
"lemonade",modifier,top,medium,"slot-default-modifier",6
"blended whiskey",spirit,middle,medium,"slot-default-spirit",6
"peach schnapps",sweet,bass,medium,"slot-default-sweet",6
"sweet and sour",modifier,top,medium,"slot-default-modifier",6
"apricot brandy",spirit,middle,high,"override-middle",6
"beer",modifier,middle,high,"override-middle",6
"chambord raspberry liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",6
"calvados",spirit,middle,medium,"slot-default-spirit",5
"champagne",amaro_liqueur,top,high,"override-top",5
"pear brandy",spirit,middle,medium,"slot-default-spirit",5
"peach liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",5
"lillet blanc",vermouth,middle,high,"override-middle",5
"pisco",spirit,middle,medium,"slot-default-spirit",5
"1 egg white",modifier,top,medium,"slot-default-modifier",5
"cream",modifier,bass,high,"override-bass",5
"vanilla extract",aromatic,top,medium,"slot-default-aromatic",5
"creme de cassis",amaro_liqueur,middle,high,"override-middle",5
"1 whole egg",modifier,top,medium,"slot-default-modifier",5
"grand marnier",amaro_liqueur,middle,high,"override-middle",5
"blue curacao",amaro_liqueur,middle,high,"override-middle",5
"cherry brandy",spirit,middle,high,"override-middle",5
"port",amaro_liqueur,bass,high,"override-bass",5
"elderflower cordial",sweet,bass,medium,"slot-default-sweet",5
"honey",sweet,bass,medium,"slot-default-sweet",5
"pineapple",sweet,bass,medium,"slot-default-sweet",5
"egg",modifier,bass,high,"override-bass",5
"aromatic bitters",bitter,top,medium,"slot-default-bitter",4
"dry champagne",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",4
"fino sherry",spirit,bass,high,"override-bass",4
"mezcal",spirit,bass,high,"override-bass",4
"cachaca",spirit,middle,medium,"slot-default-spirit",4
"fresh orange juice",sour,top,medium,"slot-default-sour",4
"ounce demerara gum syrup",sweet,bass,medium,"slot-default-sweet",4
"1 ounce heavy cream",modifier,top,medium,"slot-default-modifier",4
"creme de cacao",amaro_liqueur,bass,high,"override-bass",4
"crown royal",spirit,middle,medium,"slot-default-spirit",4
"midori melon liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",4
"jagermeister",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",4
"cointreau",amaro_liqueur,middle,high,"override-middle",4
"ginger beer",modifier,top,high,"override-top",4
"malibu rum",spirit,middle,medium,"slot-default-spirit",4
"cloves",aromatic,top,medium,"slot-default-aromatic",4
"lemon-lime soda",modifier,top,medium,"slot-default-modifier",4
"sherry",spirit,bass,high,"override-bass",4
"cane sugar syrup",sweet,middle,high,"override-middle",3
"white creme de menthe",amaro_liqueur,bass,high,"override-bass",3
"amaro",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"mole bitters",bitter,top,medium,"slot-default-bitter",3
"peated islay scotch",spirit,middle,medium,"slot-default-spirit",3
"1 sugar cube",sweet,bass,medium,"slot-default-sweet",3
"cinnamon syrup",sweet,bass,high,"override-bass",3
"amontillado sherry",spirit,bass,high,"override-bass",3
"absinthe for rinse",spirit,middle,medium,"slot-default-spirit",3
"banana liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"old tom gin",spirit,middle,medium,"slot-default-spirit",3
"elderflower liqueur",amaro_liqueur,top,high,"override-top",3
"verjus blanc",sour,top,medium,"slot-default-sour",3
"fresh grapefruit juice",sour,top,medium,"slot-default-sour",3
"blended scotch",spirit,middle,medium,"slot-default-spirit",3
"ginger syrup",sweet,bass,high,"override-bass",3
"seltzer",modifier,top,high,"override-top",3
"dry curacao orange liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"yellow chartreuse",amaro_liqueur,middle,high,"override-middle",3
"cold prosecco",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"london dry gin",spirit,middle,medium,"slot-default-spirit",3
"1 ounce white creme de cacao",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"4 ounces almond milk",modifier,top,medium,"slot-default-modifier",3
"apple juice",modifier,top,medium,"slot-default-modifier",3
"vermouth",vermouth,middle,medium,"slot-default-vermouth",3
"blackberry brandy",spirit,middle,medium,"slot-default-spirit",3
"goldschlager",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"galliano",amaro_liqueur,middle,high,"override-middle",3
"prosecco",amaro_liqueur,top,high,"override-top",3
"bacardi limon",spirit,middle,medium,"slot-default-spirit",3
"everclear",spirit,middle,medium,"slot-default-spirit",3
"southern comfort",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"sour mix",modifier,top,medium,"slot-default-modifier",3
"spiced rum",spirit,bass,high,"override-bass",3
"falernum",amaro_liqueur,middle,high,"override-middle",3
"wine",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"sprite",modifier,top,high,"override-top",3
"olive",aromatic,top,medium,"slot-default-aromatic",3
"pepper",aromatic,top,medium,"slot-default-aromatic",3
"whiskey",spirit,middle,medium,"slot-default-spirit",3
"coffee liqueur",amaro_liqueur,bass,medium,"slot-default-amaro_liqueur",3
"strawberries",sweet,bass,medium,"slot-default-sweet",3
