ingredient,slot,confidence,occurrences,rule,first_cocktail
"gin",spirit,high,109,"exact:gin","Vesper"
"vodka",spirit,high,61,"exact:vodka","Vesper"
"lemon juice",sour,high,49,"exact:lemon juice","Ramos Gin Fizz"
"lime juice",sour,high,40,"exact:lime juice","Ramos Gin Fizz"
"simple syrup",sweet,high,35,"exact:simple syrup","Vermouth Cocktail"
"dry vermouth",vermouth,high,35,"exact:dry vermouth","Chrysanthemum"
"angostura bitters",bitter,high,34,"exact:angostura bitters","Vermouth Cocktail"
"orange juice",sour,high,34,"exact:orange juice","Affair"
"lemon",sour,high,34,"exact:lemon","Boston Sour"
"sweet vermouth",vermouth,high,33,"exact:sweet vermouth","Vermouth Cocktail"
"fresh lemon juice",sour,high,32,"exact:fresh lemon juice","Amaretto Sour"
"sugar",sweet,high,29,"exact:sugar","Acapulco"
"grenadine",sweet,high,27,"exact:grenadine","Pink Lady"
"ice",modifier,high,25,"exact:ice","Broadside"
"fresh lime juice",sour,high,24,"exact:fresh lime juice","Fresh Gimlet"
"light rum",spirit,high,23,"regex:\b(rum|tequila|whiskey|whisky|bourbon|gi","Acapulco"
"lime",sour,high,23,"exact:lime","Bible Belt"
"powdered sugar",sweet,high,23,"exact:powdered sugar","Boston Sour"
"maraschino liqueur",amaro_liqueur,high,21,"exact:maraschino liqueur","Fancy-Free"
"triple sec",amaro_liqueur,high,21,"exact:triple sec","Applecar"
"amaretto",amaro_liqueur,high,19,"exact:amaretto","Amaretto Sour"
"lemon peel",aromatic,high,19,"exact:lemon peel","Allegheny"
"rum",spirit,high,18,"exact:rum","Between the Sheets (Classic)"
"orange bitters",bitter,high,17,"exact:orange bitters","Vermouth Cocktail"
"bourbon",spirit,high,17,"exact:bourbon","Improved Whiskey Cocktail"
"kahlua",amaro_liqueur,high,17,"exact:kahlua","Almeria"
"pineapple juice",modifier,high,17,"exact:pineapple juice","Algonquin"
"cognac",spirit,high,16,"exact:cognac","Stinger"
"coffee",modifier,high,16,"exact:coffee","Cafe Savoy"
"water",modifier,high,16,"exact:water","Coffee-Vodka"
"scotch",spirit,high,15,"exact:scotch","Cold Girl Fever"
"egg white",modifier,high,15,"exact:egg white","Ramos Gin Fizz"
"soda water",modifier,high,15,"exact:soda water","Ramos Gin Fizz"
"baileys irish cream",modifier,medium,15,"regex:\b(cream|milk|egg|yolk|albumen)\b","ABC"
"dark rum",spirit,high,15,"regex:^(white|gold|dark|spiced|aged|silver|añe","Adam"
"brandy",spirit,high,14,"exact:brandy","Exit Strategy"
"tequila",spirit,high,14,"exact:tequila","Downshift"
